sleep_date,Asleep Unspecified,Awake,Core,Deep,In Bed,REM,total_sleep,7_day_avg
2020-12-06,0.0,0.0,0.0,0.0,8.175277777777778,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,8.592222222222222,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0,0.0,8.583333333333334,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.5297222222222222,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0,0.0,8.359722222222222,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0,0.0,7.859166666666667,0.0,0.0,0.0
2020-12-12,0.0,0.0,0.0,0.0,8.595277777777778,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0,0.0,8.533055555555556,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,8.419444444444444,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0,0.0,8.59361111111111,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0,0.0,1.7691666666666668,0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0,0.0,8.621944444444445,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,8.374722222222223,0.0,0.0,0.0
2020-12-19,0.0,0.0,0.0,0.0,8.223055555555556,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0,0.0,8.585555555555555,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,8.2975,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0,0.0,8.5875,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0,0.0,8.589722222222223,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0,0.0,7.753055555555555,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,8.585,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0,0.0,8.1675,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.0,7.838611111111111,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,8.052777777777777,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,0.0,7.949444444444444,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,7.479722222222223,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,8.418055555555556,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,1.6816666666666666,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,1.555,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,8.577222222222222,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,8.02111111111111,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.0,8.419722222222223,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0,1.9133333333333333,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,8.416666666666666,0.0,0.0,0.0
2021-01-09,0.0,0.0,0.0,0.0,8.42,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,8.418611111111112,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,7.962777777777778,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.0,8.419444444444444,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0,0.0,6.587777777777778,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0,0.0,8.24,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,0.0,8.424722222222222,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0,0.0,8.2175,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,8.416944444444445,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,8.417222222222222,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0,8.419722222222223,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,8.42361111111111,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,8.425,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,0.0,8.370555555555557,0.0,0.0,0.0
2021-01-23,0.0,0.0,0.0,0.0,8.416666666666666,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,8.4175,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,7.723333333333333,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,8.366666666666667,0.0,0.0,0.0
2021-01-27,0.0,0.0,0.0,0.0,8.419722222222223,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0,0.0,7.842777777777778,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,0.0,8.4175,0.0,0.0,0.0
2021-01-30,0.0,0.0,0.0,0.0,8.418611111111112,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,8.425833333333333,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,8.419166666666667,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,0.0,7.205277777777778,0.0,0.0,0.0
2021-02-03,0.0,0.0,0.0,0.0,8.124166666666667,0.0,0.0,0.0
2021-02-04,0.0,0.0,0.0,0.0,8.416944444444445,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,0.0,8.417777777777777,0.0,0.0,0.0
2021-02-06,0.0,0.0,0.0,0.0,8.425277777777778,0.0,0.0,0.0
2021-02-07,0.0,0.0,0.0,0.0,1.8027777777777778,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.21055555555555555,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.0,0.0,8.402222222222223,0.0,0.0,0.0
2021-02-10,0.0,0.0,0.0,0.0,8.419722222222223,0.0,0.0,0.0
2021-02-11,0.0,0.0,0.0,0.0,8.326944444444445,0.0,0.0,0.0
2021-02-12,0.0,0.0,0.0,0.0,8.416944444444445,0.0,0.0,0.0
2021-02-13,0.0,0.0,0.0,0.0,8.428888888888888,0.0,0.0,0.0
2021-02-14,0.0,0.0,0.0,0.0,8.421388888888888,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,8.419166666666667,0.0,0.0,0.0
2021-02-16,0.0,0.0,0.0,0.0,0.3086111111111111,0.0,0.0,0.0
2021-02-17,0.0,0.0,0.0,0.0,8.4475,0.0,0.0,0.0
2021-02-18,0.0,0.0,0.0,0.0,1.1683333333333332,0.0,0.0,0.0
2021-02-19,0.0,0.0,0.0,0.0,8.421944444444444,0.0,0.0,0.0
2021-02-20,0.0,0.0,0.0,0.0,8.421388888888888,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,8.421388888888888,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.2911111111111111,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0,8.422222222222222,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0,0.19916666666666666,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0,8.266944444444444,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,0.0,8.345833333333333,0.0,0.0,0.0
2021-02-27,0.0,0.0,0.0,0.0,8.363055555555555,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,8.523888888888889,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,8.259166666666667,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0,8.29,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0,0.16055555555555556,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,0.0,8.255277777777778,0.0,0.0,0.0
2021-03-05,0.0,0.0,0.0,0.0,8.365555555555556,0.0,0.0,0.0
2021-03-06,0.0,0.0,0.0,0.0,8.297500000000001,0.0,0.0,0.0
2021-03-07,0.0,0.0,0.0,0.0,0.5586111111111111,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,8.332777777777778,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0,0.0,7.858888888888889,0.0,0.0,0.0
